DATE,NaturalGasPrice
1/1/2019,7.161064953
1/2/2019,5.98633856
1/3/2019,5.197180073
1/4/2019,4.95324985
1/5/2019,4.360182888
1/6/2019,3.483036
1/7/2019,3.595943909
1/8/2019,3.270196677
1/9/2019,3.086804586
1/10/2019,3.339724246
1/11/2019,4.781019523
1/12/2019,4.243548744
1/1/2020,3.626269711
1/2/2020,2.995477203
1/3/2020,2.789823671
1/4/2020,2.083882202
1/5/2020,1.46261232
1/6/2020,1.647299982
1/7/2020,1.640862822
1/8/2020,2.611565546
1/9/2020,3.854995574
1/10/2020,4.813821635
1/11/2020,4.783507944
1/12/2020,5.828639183
1/1/2021,7.302820662
1/2/2021,6.171340829
1/3/2021,6.205197385
1/4/2021,7.282723606
1/5/2021,9.004704035
1/6/2021,10.32413911
1/7/2021,12.5242466
1/8/2021,15.27902912
1/9/2021,22.23282724
1/10/2021,29.81414289
1/11/2021,27.38382608
1/12/2021,37.36336306
1/1/2022,27.89094479
1/2/2022,26.98428134
1/3/2022,41.72768831
1/4/2022,31.9898743
1/5/2022,27.46416643
1/6/2022,32.91260722
1/7/2022,51.14591252
1/8/2022,69.97723933
1/9/2022,55.1791274
1/10/2022,20.80663685
1/11/2022,28.79080462
1/12/2022,35.36873121
1/1/2023,19.88618693
